time,value,a,b,c,d
04_00_00_p,0.53,0.0,0.05,0.14,99.82
04_00_04_p,1.01,0.0,0.13,0.18,99.69
04_00_10_p,1.18,0.0,0.18,0.14,99.68
04_00_16_p,1.5,0.03,0.16,0.2,99.6
04_00_22_p,1.79,0.01,0.27,0.17,99.54
04_00_28_p,1.74,0.01,0.24,0.22,99.53
04_00_34_p,1.95,0.02,0.27,0.2,99.5
04_00_40_p,1.9,0.03,0.22,0.25,99.5
04_00_46_p,1.25,0.02,0.13,0.2,99.65
04_00_52_p,1.89,0.02,0.27,0.17,99.53
04_00_58_p,2.06,0.02,0.26,0.28,99.43
04_01_04_p,1.52,0.03,0.18,0.16,99.62
04_01_10_p,1.15,0.01,0.17,0.1,99.72
04_01_16_p,1.07,0.01,0.17,0.06,99.76
04_01_22_p,1.32,0.02,0.18,0.11,99.68
04_01_28_p,0.72,0.0,0.1,0.11,99.78
04_01_34_p,0.5,0.0,0.06,0.1,99.84
04_01_40_p,0.62,0.0,0.06,0.16,99.78
04_01_46_p,0.55,0.02,0.03,0.1,99.84
04_01_52_p,0.4,0.0,0.06,0.05,99.9
04_01_58_p,0.39,0.0,0.07,0.02,99.91
04_02_04_p,0.4,0.0,0.06,0.05,99.9
04_02_10_p,0.52,0.01,0.02,0.16,99.81
04_02_16_p,0.31,0.0,0.03,0.08,99.89
04_02_22_p,0.23,0.0,0.01,0.09,99.9
04_02_28_p,0.65,0.0,0.09,0.1,99.81
04_02_34_p,0.51,0.0,0.03,0.18,99.78
04_02_40_p,0.1,0.0,0.0,0.05,99.95
04_02_46_p,0.32,0.0,0.02,0.11,99.86
04_02_52_p,0.19,0.0,0.01,0.07,99.92
04_02_58_p,0.12,0.0,0.0,0.06,99.94
04_03_04_p,0.1,0.0,0.0,0.05,99.95
04_03_10_p,0.1,0.0,0.0,0.05,99.95
04_03_16_p,0.23,0.0,0.01,0.09,99.9
04_03_22_p,0.33,0.01,0.01,0.09,99.89
04_03_28_p,0.43,0.02,0.01,0.09,99.87
04_03_34_p,0.23,0.0,0.01,0.09,99.9
04_03_40_p,0.06,0.0,0.0,0.03,99.97
04_03_46_p,0.45,0.0,0.05,0.1,99.85
04_03_52_p,0.19,0.0,0.03,0.02,99.94
04_03_58_p,0.32,0.01,0.02,0.06,99.91
04_04_04_p,0.53,0.01,0.03,0.14,99.82
04_04_10_p,0.37,0.0,0.01,0.16,99.83
04_04_16_p,0.1,0.0,0.0,0.05,99.95
04_04_22_p,0.35,0.01,0.01,0.1,99.87
04_04_28_p,0.63,0.01,0.05,0.14,99.81
04_04_34_p,0.28,0.0,0.0,0.14,99.86
04_04_40_p,0.31,0.0,0.03,0.08,99.89
04_04_46_p,0.17,0.0,0.01,0.06,99.93
04_04_52_p,0.25,0.0,0.01,0.1,99.89
04_04_58_p,0.34,0.02,0.0,0.07,99.91
04_05_04_p,0.1,0.0,0.0,0.05,99.95
04_05_10_p,0.31,0.0,0.03,0.08,99.89
04_05_16_p,0.58,0.01,0.06,0.09,99.84
04_05_22_p,0.15,0.0,0.01,0.05,99.94
04_05_28_p,0.49,0.01,0.05,0.07,99.87
04_05_34_p,0.32,0.01,0.02,0.06,99.91
04_05_40_p,0.46,0.0,0.06,0.08,99.86
04_05_46_p,0.12,0.0,0.0,0.06,99.94
04_05_52_p,0.11,0.0,0.01,0.03,99.95
04_05_58_p,0.17,0.0,0.03,0.01,99.95
04_06_04_p,0.1,0.0,0.02,0.0,99.98
04_06_10_p,0.59,0.01,0.07,0.07,99.85
04_06_16_p,1.55,0.01,0.19,0.25,99.54
04_06_22_p,2.32,0.0,0.3,0.41,99.29
04_06_28_p,4.29,0.0,0.63,0.57,98.8
04_06_34_p,7.33,0.02,0.99,1.09,97.89
04_06_40_p,9.99,0.02,1.41,1.37,97.2
04_06_46_p,14.24,0.07,2.06,1.62,96.25
04_06_52_p,18.66,0.09,2.62,2.33,94.96
04_06_58_p,24.23,0.07,3.55,2.89,93.5
04_07_04_p,30.07,0.08,4.57,3.21,92.14
04_07_10_p,34.68,0.06,5.4,3.54,91.0
04_07_16_p,41.58,0.13,6.4,4.14,89.33
04_07_22_p,46.15,0.15,6.99,4.85,88.01
04_07_28_p,51.09,0.2,7.63,5.47,86.71
04_07_34_p,53.88,0.24,7.98,5.79,85.99
04_07_40_p,57.32,0.18,8.64,6.16,85.02
04_07_46_p,60.91,0.28,8.97,6.63,84.13
04_07_52_p,63.36,0.2,9.4,7.18,83.22
