time,value,a,b,c,d
06_00_00_p,0.001844335,0.00 ,0.10 ,0.07 ,99.83 
06_00_04_p,0.003141993,0.00 ,0.14 ,0.15 ,99.72 
06_00_10_p,0.002747215,0.01 ,0.09 ,0.14 ,99.76 
06_00_16_p,0.003946024,0.03 ,0.11 ,0.22 ,99.64 
06_00_22_p,0.003630859,0.01 ,0.18 ,0.11 ,99.69 
06_00_28_p,0.003890308,0.01 ,0.18 ,0.17 ,99.64 
06_00_34_p,0.004190584,0.02 ,0.16 ,0.22 ,99.60 
06_00_40_p,0.004352372,0.02 ,0.19 ,0.24 ,99.54 
06_00_46_p,0.003489773,0.02 ,0.10 ,0.22 ,99.66 
06_00_52_p,0.004348664,0.00 ,0.25 ,0.16 ,99.59 
06_00_58_p,0.004484689,0.00 ,0.20 ,0.23 ,99.57 
06_01_04_p,0.002974769,0.00 ,0.13 ,0.14 ,99.74 
06_01_10_p,0.002240556,0.00 ,0.09 ,0.10 ,99.81 
06_01_16_p,0.002896237,0.00 ,0.11 ,0.15 ,99.74 
06_01_22_p,0.002767443,0.00 ,0.15 ,0.09 ,99.76 
06_01_28_p,0.002275219,0.00 ,0.10 ,0.10 ,99.79 
06_01_34_p,0.002951133,0.00 ,0.13 ,0.14 ,99.74 
06_01_40_p,0.002899006,0.00 ,0.17 ,0.09 ,99.74 
06_01_46_p,0.002637285,0.00 ,0.14 ,0.10 ,99.76 
06_01_52_p,0.001808163,0.00 ,0.09 ,0.07 ,99.84 
06_01_58_p,0.001428048,0.00 ,0.05 ,0.08 ,99.87 
06_02_04_p,0.001463504,0.00 ,0.05 ,0.08 ,99.87 
06_02_10_p,0.00131454,0.00 ,0.01 ,0.10 ,99.89 
06_02_16_p,0.001419458,0.00 ,0.03 ,0.09 ,99.87 
06_02_22_p,0.00051735,0.01 ,0.01 ,0.06 ,99.92 
06_02_28_p,0.001534122,0.00 ,0.08 ,0.06 ,99.86 
06_02_34_p,0.001128614,0.00 ,0.05 ,0.06 ,99.90 
06_02_40_p,0.002322836,0.01 ,0.13 ,0.10 ,99.76 
06_02_46_p,0.001274309,0.00 ,0.05 ,0.07 ,99.89 
06_02_52_p,0.000429487,0.00 ,0.02 ,0.02 ,99.95 
06_02_58_p,0.000934138,0.00 ,0.02 ,0.06 ,99.92 
