ORIG_FID,经度,纬度,value
0,399.9428214,1052.218464,3
1,400.8541194,1046.295872,4
2,401.7413534,1037.075645,3
3,402.6285873,1027.855418,4
4,405.0505867,1020.505755,4
5,444.2251403,1025.780943,4
6,439.9751403,1027.030943,4
7,442.9751403,1028.030943,4
8,432.4751403,1049.280943,4
9,436.4751403,1040.780943,4
10,440.4751403,1032.280943,4
11,425.9860627,1052.395257,2
12,428.5766776,1047.054799,1
13,431.7360627,1038.645257,4
14,434.8954478,1030.235714,4
15,522.9751403,1032.280943,4
16,524.4751403,1032.030943,4
17,522.9751403,1034.780943,4
18,523.9751403,1037.530943,3
19,521.4751403,1037.530943,4
20,517.714768,1051.780646,2
21,520.9595818,1047.030497,2
22,523.9699542,1041.030794,3
23,512.2307082,1052.277211,4
24,515.2334921,1047.775345,4
25,518.7279243,1041.279077,4
26,519.4467614,1031.9953,4
27,516.4903065,1029.352983,4
28,517.0280098,1023.811627,4
29,517.9595683,1017.942265,4
30,518.5171504,1010.094429,4
31,522.0376215,1030.373526,4
32,521.7803077,1024.851915,4
33,522.1407177,1017.123526,4
34,522.5011277,1009.395137,4
35,526.9751403,1032.030943,4
36,529.9751403,1032.030943,4
37,527.9751403,1034.780943,3
38,526.4751403,1037.530943,4
39,705.578806,1029.449719,3
40,713.5373397,1029.282208,3
41,721.4958735,1029.114698,2
42,701.8122546,1032.123686,4
43,702.6375126,1039.418159,4
44,703.8625978,1048.826682,4
45,705.9333318,1034.600072,2
46,713.7500552,1034.37242,2
47,721.5667786,1034.144769,2
48,698.8592856,1029.470113,3
49,696.5527305,1031.850241,4
50,697.6086068,1039.103032,4
51,698.8529625,1048.721639,4
52,699.5056995,1034.503813,2
53,728.2251403,1029.030943,2
54,730.9751403,1031.280943,4
55,725.4751403,1031.530943,4
56,728.2251403,1033.780943,2
57,731.391807,1050.19761,4
58,731.2251403,1043.530943,4
59,731.0584737,1036.864276,4
60,725.9892089,1049.607944,4
61,725.4962431,1042.771445,4
62,725.4821746,1036.944444,4
63,872.4488033,1051.591917,3
64,868.3961294,1047.713866,3
65,864.9172474,1043.456038,2
66,862.0121575,1038.818433,2
67,859.2122004,1031.921516,2
68,856.5173764,1022.765287,2
69,853.8225524,1013.609058,3
70,864.6902355,1051.149682,3
71,860.1551455,1045.003371,4
72,855.6547751,1037.473271,3
73,852.36691,1030.760261,4
74,850.2915501,1024.864341,4
75,848.8091877,1019.320021,3
76,847.9198228,1014.127302,3
77,1063.625228,1052.365686,4
78,1061.49653,1048.786734,4
79,1058.938962,1043.959345,3
80,1056.098499,1038.374082,4
81,1052.97514,1032.030943,4
82,1049.851782,1025.687804,4
83,1046.88557,1020.022272,4
84,1044.076505,1015.034348,4
85,1041.424298,1009.704759,4
86,1038.575881,1004.700038,4
87,313.5045899,987.2866415,4
88,314.563489,977.7980385,4
89,315.622388,968.3094355,4
90,316.908306,959.1925011,4
91,318.4212428,950.4472354,4
92,321.7806461,943.2571381,3
93,326.9865158,937.6222094,3
94,331.5322955,931.917844,3
95,314.9751403,992.030943,2
96,312.4751403,994.530943,4
97,314.2251403,997.280943,4
98,316.7251403,994.780943,3
99,307.9833107,996.8398304,4
100,301.9996513,995.4576053,4
101,295.779686,994.3821691,4
102,289.3234147,993.6135217,4
103,282.7010315,992.0276675,4
104,275.9125366,989.6246065,4
105,268.9858497,985.1023923,4
106,263.8049157,978.7743417,4
107,260.5079266,972.7596078,4
108,257.2109376,966.7448738,4
109,253.4610098,962.0426687,4
110,249.2581432,958.6529925,4
111,243.7200562,956.5691695,4
112,236.8467488,955.7911999,4
113,229.9734414,955.0132303,4
114,222.8520254,954.4263414,4
115,215.4825006,954.0305334,4
116,208.1129758,953.6347253,4
117,201.4198612,952.931384,4
118,195.4031568,951.9205094,4
119,189.8179475,950.3764372,4
120,184.6642334,948.2991673,4
121,178.2968369,945.3581991,4
122,170.7157581,941.5535325,4
123,163.1346793,937.7488659,4
124,155.0521665,934.7468008,4
125,146.4682195,932.5473372,4
126,137.8842726,930.3478736,4
127,129.583448,927.769257,4
128,123.0304861,924.9277128,4
129,117.9422646,922.2023939,4
130,112.4366471,917.4353387,4
131,311.4751403,997.280943,4
132,316.7251403,997.780943,4
133,303.7413383,1015.65062,4
134,306.7810601,1011.50915,4
135,309.3281075,1006.986857,4
136,311.1839433,1002.470074,4
137,311.3706979,998.8726904,4
138,307.3519861,1019.464682,2
139,310.7590162,1014.926297,3
140,314.2233509,1008.17758,3
141,316.3163208,1001.465965,4
142,402.0049457,1014.360459,4
143,404.1219481,1017.162247,2
144,411.1089681,1018.534351,2
145,419.2689658,1020.070645,3
146,426.6305086,1022.13683,3
147,433.1935964,1024.732905,4
148,413.8018397,1013.808408,2
149,422.8343668,1015.825073,3
150,430.5067578,1018.00779,3
151,436.8190128,1020.356559,4
152,406.0402703,1012.481352,3
153,408.1572726,1015.28314,4
154,459.9751403,999.530943,4
155,441.3184428,1018.856159,4
156,444.0050477,1013.506592,4
157,447.3582454,1007.693075,4
158,451.3780358,1001.415607,4
159,456.4175875,994.8201514,4
160,462.4769006,987.9067091,2
161,467.3268523,983.9254545,3
162,469.7465597,984.16992,2
163,470.0635817,986.1974377,2
164,467.7046786,990.0997032,4
165,463.5516531,995.3871964,4
166,442.4751403,1022.530943,4
167,447.06439,1019.355581,4
168,451.2428893,1011.004856,4
169,455.9036396,1003.930218,4
170,438.7251403,1023.780943,4
171,436.9751403,1026.030943,4
172,518.4851012,1002.680737,4
173,520.645143,1005.356109,4
174,522.7467766,1002.814835,4
175,520.5867348,1000.139463,4
176,854.3734285,1002.686439,2
177,861.1700047,1000.997433,1
178,869.1700047,1000.122433,1
179,878.3734285,1000.061439,1
180,848.2251403,1004.280943,2
181,845.4751403,1005.530943,3
182,851.7251403,1005.780943,3
183,855.4886948,1006.886963,3
184,862.244243,1005.19937,3
185,870.2334626,1004.624553,3
186,878.7279144,1004.562146,3
187,852.4751403,1008.530943,4
188,846.4751403,1008.030943,3
189,849.9751403,1009.530943,3
190,847.4751403,1010.780943,4
191,885.2251403,1000.030943,2
192,887.2251403,1002.280943,4
193,882.9751403,1002.280943,4
194,884.9751403,1004.530943,3
195,882.141807,1021.19761,4
196,882.4751403,1014.530943,4
197,882.8084737,1007.864276,4
198,886.5584737,1022.030943,4
199,886.7251403,1015.030943,4
200,886.891807,1008.030943,4
201,338.2251403,928.780943,4
202,340.7251403,927.030943,4
203,334.7251403,928.780943,4
204,336.0997066,926.5732578,4
205,402.7251403,936.530943,4
206,404.4751403,939.030943,4
207,400.9751403,939.030943,4
208,402.7251403,941.530943,4
209,401.0051865,931.632727,4
210,401.4574961,922.2770333,4
211,402.3020232,913.3620778,4
212,404.9348801,934.8873885,4
213,405.7193589,929.0789071,4
214,406.3688371,920.7490533,4
